"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Obp1a",2.73594597432353e-98,-310.215951340598,0.278,0.731,6.87515863887761e-94
"Ifitm2",5.87301806873289e-40,-3.01208528659536,0.117,0.341,1.47583071049189e-35
"Ifi213",3.27053666828655e-37,-4.88910716194535,0.025,0.15,8.21853159373727e-33
"Ifi27l2a",1.73160402927393e-35,-4.23577472610656,0.391,0.648,4.35134776516245e-31
"Lef1",7.60259386312366e-35,-7.22622332193355,0.019,0.128,1.91045581186434e-30
"Il7r",1.52716564454007e-34,-1.83903074595342,0.027,0.15,3.83761454816474e-30
"Map1b",1.08499103569707e-33,-10.133060794151,0.85,0.585,2.72647397360316e-29
"H2-Aa",2.41599439834083e-33,6.33121053607125,0.91,0.762,6.07115232359066e-29
"Vpreb1",5.86008248777265e-33,-14.4638191187266,0.012,0.101,1.47258012835239e-28
"Pafah1b3",4.84775919659765e-32,-6.10439082507286,0.122,0.327,1.21819340851302e-27
"Cplx2",4.73365787265652e-31,-1.59911976189984,0.03,0.15,1.18952088681986e-26
"Myb",4.77309977028431e-31,-3.24258461695491,0.044,0.184,1.19943224127475e-26
"Dpp4",2.87645478934834e-30,-2.09939986050152,0.059,0.213,7.22824324015344e-26
"Tubb4b",6.96888008035578e-30,2.96566799321713,0.887,0.63,1.7512098753926e-25
"Zfpm1",8.51385365673202e-30,-1.99832936186986,0.018,0.114,2.13944628540019e-25
"Lyz2",9.24169766175095e-30,-4.34787004199423,0.019,0.117,2.3223462054214e-25
"Tuba1a",1.49496558140546e-29,-10.938900561955,0.859,0.596,3.75669900951377e-25
"Sox4",2.30378214991054e-29,-11.1857745574658,0.061,0.211,5.7891741645102e-25
"Hnrnpa0",2.5525570168548e-29,-3.43586323938251,0.411,0.693,6.41432052765442e-25
"H2-Eb1",1.09580429101653e-28,1.51965800629505,0.895,0.717,2.75364660289544e-24
"Btg1",1.12954832939899e-28,37.0357517944655,0.983,0.946,2.83844199694671e-24
"Gnal",1.19277507666709e-28,-33.9712720414568,0.793,0.54,2.99732449015673e-24
"Stoml3",1.71958700923502e-28,-85.8477617710006,0.863,0.621,4.32115019550668e-24
"1700012B09Rik",1.95694065586383e-28,-4.32006532485188,0.028,0.139,4.91759617412021e-24
"Tmem176b",2.02932126240135e-28,-1.4844083937608,0.015,0.103,5.09948140028834e-24
"Plekhb1",9.02411410095904e-28,-5.6743558735693,0.081,0.244,2.26766963243e-23
"Fau",3.06069736296781e-27,23.947784556876,1,1,7.69122640340181e-23
"Akap12",1.12072280207115e-26,0.852582815714566,0.078,0.235,2.81626432932459e-22
"Bst2",1.32048430240326e-26,4.82561842159175,0.073,0.229,3.31824500350915e-22
"Obp2a",3.51257526163188e-26,90.8235093744466,0.058,0.202,8.82675037495475e-22
"Elof1",3.84186875088159e-26,-1.85686933383004,0.089,0.256,9.65423198409035e-22
"Atp1a1",7.67019893616469e-26,-1.50694489274729,0.869,0.619,1.92744429066883e-21
"H2-Ab1",4.25540269514646e-25,18.4573836759712,0.904,0.762,1.06934014326336e-20
"Arl6ip5",8.35977439637576e-25,-2.56191739453877,0.036,0.148,2.10072770806526e-20
"Tifa",9.64837655456395e-25,-3.53245066447764,0.059,0.193,2.42454054439638e-20
"Xaf1",1.03313514673172e-24,-1.90177664838798,0.023,0.117,2.59616531022214e-20
"Chga",1.40834284750231e-24,-7.24998035848277,0.719,0.475,3.53902474148856e-20
"Pgls",1.79708884811401e-24,-4.79506492744142,0.288,0.513,4.51590456642569e-20
"Brd1",3.37565634278132e-24,-1.03842290683802,0.068,0.213,8.48268682377518e-20
"Selenop",4.78792758583111e-24,-2.97667686557208,0.025,0.121,1.2031583230435e-19
"Nedd4",5.94716233852814e-24,-1.95661570272737,0.018,0.103,1.49446242404874e-19
"Dcdc2a",8.7225729716887e-24,-13.9470257263356,0.036,0.146,2.19189536205565e-19
"Arl5c",3.04909007844095e-23,6.33700180002348,0.097,0.258,7.66205845811427e-19
"Fstl5",3.6068887357083e-23,-8.16450152372223,0.743,0.507,9.06375070396139e-19
"Trim30a",4.18196256363353e-23,-1.11965766305652,0.095,0.256,1.05088537261547e-18
"Ifi209",4.76334065131837e-23,-4.10017403244968,0.208,0.424,1.19697987226979e-18
"Gpr183",7.39195918873199e-23,5.00347311758962,0.42,0.186,1.85752542453646e-18
"Tshz2",2.91156604824787e-22,-2.47889657829798,0.78,0.545,7.31647432264207e-18
"Omp",6.02745252028195e-22,-26.7202090305944,0.83,0.596,1.51463854382165e-17
"Dynll2",8.39647058664609e-22,-1.35557455793744,0.148,0.327,2.1099490937183e-17
"Atf3",9.25657736117395e-22,0.859220237798341,0.212,0.406,2.3260853250894e-17
"Xrcc6",1.14514256207278e-21,-1.42486237792386,0.049,0.166,2.87762874423269e-17
"Parp14",2.61368462972543e-21,-4.35040155200734,0.085,0.231,6.56792810603703e-17
"Ckb",5.11088974576692e-21,-3.61182876604408,0.824,0.585,1.28431548421377e-16
"Epcam",6.32135109014492e-21,-2.07342636830122,0.701,0.473,1.58849231544252e-16
"Zeb2",2.62016580740581e-20,-4.96318615601627,0.132,0.3,6.58421465743007e-16
"Fam129c",3.45739287247323e-20,-1.4604089111324,0.066,0.193,8.68808254923799e-16
"H2-Q4",5.01206537475803e-20,-1.65406006063254,0.077,0.215,1.25948190802295e-15
"Ucp2",5.89722827846054e-20,-5.95219011897219,0.375,0.605,1.48191449409435e-15
"Ppa1",6.23649788298018e-20,-0.979334716919362,0.062,0.186,1.56716955301409e-15
"Ifi47",6.58554108380118e-20,-3.81021355230709,0.036,0.135,1.6548806189484e-15
"Nsg1",4.8770432151335e-19,-18.0085396105935,0.695,0.475,1.2255521895309e-14
"Actb",1.04184128596566e-18,53.2470170456667,1,1,2.61804296750311e-14
"Prdx6",1.26650334666326e-18,-2.50212841302233,0.167,0.361,3.1825962598301e-14
"Mndal",2.9790176643079e-18,-2.20508283005838,0.278,0.48,7.48597348863933e-14
"Fam53b",1.65840793242934e-17,-1.09975717157278,0.08,0.204,4.16741329340168e-13
"Wfdc18",1.68371656790058e-17,338.996817059435,0.224,0.054,4.23101136347736e-13
"Mt1",1.88915077237885e-17,12.7244506218833,0.89,0.682,4.7472469759108e-13
"Plac8",2.02150062992968e-17,47.4927906228898,0.315,0.509,5.0798289329503e-13
"Akap9",3.01588652408828e-17,-3.46495173181176,0.317,0.543,7.57862124638145e-13
"Smchd1",3.73006033445832e-17,-1.86988053414099,0.288,0.487,9.37326861446031e-13
"Dnajc7",5.47520784249123e-17,5.7436141067604,0.289,0.473,1.37586497873962e-12
"Lgals9",6.20232095226139e-17,2.35375633443791,0.09,0.222,1.55858123209376e-12
"Aplp1",7.67792639368091e-17,-2.65516279146117,0.122,0.267,1.92938612346808e-12
"Ypel3",9.26325079279004e-17,2.07478131166611,0.277,0.502,2.32776229172021e-12
"Smarca4",9.75992754329227e-17,-5.876471482591,0.138,0.28,2.45257219235391e-12
"Stat1",1.04281588463746e-16,-0.513195708919569,0.152,0.309,2.62049203650547e-12
"mt-Nd3",2.06304937229451e-16,10.5733706886249,0.971,0.836,5.18423676763888e-12
"Hist1h1b",2.20179953706547e-16,-7.29697119668573,0.031,0.112,5.53290205669182e-12
"Tspo",3.29893246764834e-16,-1.67768691827192,0.194,0.37,8.28988739795351e-12
"Tfdp2",3.44549056940441e-16,-0.869134714126862,0.036,0.123,8.65817325185635e-12
"Eif2ak2",6.53179934955884e-16,-3.74941332636465,0.033,0.117,1.64137585855064e-11
"Sec63",1.53424767831217e-15,-3.54507241189129,0.12,0.258,3.85541099083066e-11
"Cd74",1.87199278050338e-15,3.30076531761273,0.976,0.868,4.70413065812695e-11
"Samhd1",1.90510933718397e-15,-6.31057074235947,0.287,0.462,4.78734925340959e-11
"Rnf213",1.99318694058719e-15,-2.38210251444553,0.056,0.157,5.00867946300154e-11
"Ifi214",2.05277143198636e-15,-2.49413827716874,0.088,0.213,5.15840933143853e-11
"Scn9a",2.50119911415732e-15,-1.09092407782024,0.089,0.211,6.28526325396594e-11
"Atf5",3.4602778917175e-15,-2.89852775324819,0.738,0.531,8.6953323140969e-11
"Slamf7",4.38664655837143e-15,-3.66320571176991,0.069,0.177,1.10232041365316e-10
"Ralbp1",4.9325492555922e-15,1.18350306780601,0.222,0.415,1.23950030243776e-10
"Ppp1ca",5.52052987873001e-15,-1.14438624062583,0.396,0.628,1.38725395322606e-10
"Mpp1",5.81428931535658e-15,-1.85411551789582,0.044,0.135,1.46107276205596e-10
"Trp53inp1",7.38441395387773e-15,-1.58036845516631,0.075,0.191,1.85562938246994e-10
"Pnisr",7.48421822862885e-15,-1.13046150330884,0.416,0.648,1.88070919867214e-10
"Trim30d",8.49534328014356e-15,-1.98121340512839,0.037,0.121,2.13479481286728e-10
"Stambpl1",1.06489396226762e-14,-3.57975304353632,0.046,0.137,2.67597203778231e-10
"Gm6619",1.24172896778955e-14,165.803315266552,0.075,0.191,3.12034072315836e-10
"Trim34a",1.98355448577994e-14,-1.14133942638989,0.067,0.175,4.98447406731641e-10
"Tor3a",2.40395483497862e-14,-3.95292596479747,0.031,0.108,6.04089810481778e-10
"Samsn1",2.59181459766902e-14,18.3938506028988,0.269,0.112,6.51297090248248e-10
"Rag1",3.00472970098511e-14,10.9604180201082,0.033,0.112,7.55058526560549e-10
"Tcf3",4.19201979602937e-14,-2.21213844483134,0.111,0.24,1.05341265454422e-09
"Vpreb3",5.85842594435847e-14,-10.1359538874177,0.399,0.531,1.47216385555784e-09
"Prep",7.27775744542414e-14,-2.90366781605645,0.037,0.117,1.82882766846063e-09
"Ifi206",9.75438851419153e-14,-2.16049649016069,0.034,0.11,2.45118028973119e-09
"Lynx1",1.16979822125016e-13,-0.636445312865217,0.052,0.143,2.93958595017953e-09
"Ddx46",1.32743888815554e-13,0.814266517757503,0.226,0.399,3.33572118204605e-09
"Mup4",1.58597722327808e-13,89.4806717168098,0.057,0.152,3.9854021643755e-09
"Ifi203",1.97318247521083e-13,-6.11619263212915,0.302,0.457,4.95841024195729e-09
"Siglecg",2.22953293202828e-13,-1.46659424802053,0.252,0.415,5.60259330489387e-09
"Ddx58",2.7770863778956e-13,-1.57364983683415,0.068,0.17,6.97854035901385e-09
"Pcp4l1",2.9764091664759e-13,-2.46389668341769,0.193,0.336,7.4794185944373e-09
